Datetime,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S5(O3),T,RH,AH
2004-03-11 18:00:00,1580.75,1318.5,798.5,151.0,1408.5,10.349999904633,64.174999237061,0.806543633173666
2004-03-11 19:00:00,1775.5,1487.75,702.25,172.0,1704.0,9.6500000953674,69.300001144409,0.8319211444100879
2004-03-11 20:00:00,1640.0,1404.0,742.75,165.0,1653.75,9.6499998569489,67.75,0.8133139353625914
2004-03-11 21:00:00,1312.75,1076.25,957.25,136.0,1284.75,9.125,63.974999427795,0.7419242244892506
2004-03-11 22:00:00,964.5,748.5,1325.25,85.0,821.0,8.1750001907349,63.39999961853,0.6904844466414399
2004-03-11 23:00:00,912.75,629.25,1564.5,53.0,551.75,8.2499998807907,60.824998855591,0.6657443604063102
2004-03-12 00:00:00,1080.25,805.0,1253.5,97.0,815.5,8.3250002861023,58.525000572205,0.6437636096330573
2004-03-12 01:00:00,1043.75,829.0,1247.25,110.0,831.5,7.7250001430511,59.674999237061,0.6307660602738635
2004-03-12 02:00:00,987.75,718.0,1395.5,91.0,691.5,7.125,61.799999237061,0.6275973687868803
2004-03-12 03:00:00,888.75,574.25,1680.25,,512.0,6.9750000238419,62.27499961853,0.6261075278097894
2004-03-12 04:00:00,831.0,505.75,1892.75,32.0,384.0,6.1000000238419,65.900001525879,0.6247536319724682
2004-03-12 05:00:00,847.25,501.25,1894.5,44.0,394.0,6.2749999761581,64.97500038147,0.6232823211022999
2004-03-12 06:00:00,927.0,571.25,1684.75,71.0,486.5,6.75,62.949999809265,0.6234275392144519
2004-03-12 07:00:00,1090.5,730.25,1387.0,104.0,748.25,6.4499999284744,65.075001716614,0.6316281144389537
2004-03-12 08:00:00,1587.0,1235.5,896.5,141.0,1400.25,7.3250000476837,63.14999961853,0.6499331393073879
2004-03-12 09:00:00,1544.5,1353.0,767.25,,1587.75,9.2250000238419,56.199998855591,0.6560651189171942
2004-03-12 10:00:00,1350.25,1117.5,912.0,122.0,1237.0,13.224999904633,41.749999046326,0.6319501309937225
2004-03-12 11:00:00,1262.75,1037.25,969.0,143.0,1166.5,14.325000047684,38.449999809265,0.6243042942153901
2004-03-12 12:00:00,1206.25,986.0,1034.5,113.0,959.0,15.025000095367,36.5,0.6195323226057363
2004-03-12 13:00:00,1251.5,1015.75,1007.5,116.0,983.0,16.100000143051,34.474999427795,0.6261647401566796
2004-03-12 14:00:00,1287.0,1077.5,948.75,123.0,1060.75,16.275000572205,35.72500038147,0.6560306119627572
2004-03-12 15:00:00,1352.75,1122.25,921.75,126.0,1139.25,15.825000047684,37.02499961853,0.6609611395034868
2004-03-12 16:00:00,1309.0,1073.25,954.0,120.0,1112.25,15.874999761581,37.175000190735,0.6657285250911997
2004-03-12 17:00:00,1274.0,1040.5,1005.75,119.0,993.75,16.875000238419,34.349999427795,0.6549085143270723
2004-03-12 18:00:00,1509.5,1276.5,812.25,149.0,1409.5,15.149999856949,39.550000190735,0.6766265078085045
2004-03-12 19:00:00,1525.25,1246.0,821.0,145.0,1447.75,14.399999856949,43.425000190735,0.7084497598177374
2004-03-12 20:00:00,1843.0,1609.75,624.0,170.0,1886.5,12.875,50.525000572205,0.7478032188508966
2004-03-12 21:00:00,1597.75,1299.0,752.0,149.0,1626.75,12.149999856949,53.349999427795,0.7536202227825304
2004-03-12 22:00:00,1483.5,1127.0,839.0,139.0,1491.0,10.975000143051,59.125000953674,0.7739800033862854
2004-03-12 23:00:00,1677.25,1346.0,740.5,134.0,1657.0,9.6749999523163,64.624999046326,0.7770739425473616
2004-03-13 00:00:00,1279.5,964.0,962.5,113.0,1285.25,9.4500002861023,64.125,0.7597465282359432
2004-03-13 01:00:00,1196.25,873.0,1071.25,97.0,1144.25,9.1499998569489,63.900001525879,0.7422764129225364
2004-03-13 02:00:00,1183.75,781.75,1176.25,82.0,1042.75,8.7999999523163,63.924998283386,0.7256153712649386
2004-03-13 03:00:00,1171.75,782.75,1178.5,,995.5,7.8000000715256,67.52499961853,0.7173121148941005
2004-03-13 04:00:00,1147.0,821.0,1132.25,83.0,991.5,7.0,71.075000762939,0.7157784693036635
2004-03-13 05:00:00,978.25,624.75,1420.25,65.0,819.25,8.2999999523163,63.574999809265,0.6981546204756909
2004-03-13 06:00:00,1099.5,646.25,1406.25,60.0,835.0,7.2000000476837,67.47500038147,0.6886721470838881
2004-03-13 07:00:00,1112.25,770.25,1228.0,77.0,939.75,6.3499999046326,71.89999961853,0.6931985587343715
2004-03-13 08:00:00,1335.5,1043.25,935.25,96.0,1191.75,6.450000166893,71.550001144409,0.6944754797176015
2004-03-13 09:00:00,1408.3333333333,1153.0,830.33333333333,119.0,1411.0,9.5666666030884,59.666667938232,0.7123665611992754
2004-03-13 10:00:00,1447.0,1080.75,868.5,126.0,1465.0,12.375,51.175000190735,0.7334583850640767
2004-03-13 11:00:00,1541.5,1183.75,808.25,158.0,1582.5,15.649999856949,42.199999809265,0.7450937577774329
2004-03-13 12:00:00,1451.25,1117.25,875.25,161.0,1387.25,18.400000095367,33.824999809265,0.708963570176462
2004-03-13 13:00:00,1328.25,1059.25,986.5,124.0,1100.5,19.35000038147,31.275000095367,0.6950081047527402
2004-03-13 14:00:00,1206.5,924.25,1087.75,102.0,849.75,18.02499961853,34.800000190735,0.7126738741944919
2004-03-13 15:00:00,1239.5,947.0,1049.0,116.0,947.0,18.375,33.64999961853,0.704207020809635
2004-03-13 16:00:00,1306.0,986.75,1004.0,124.0,1078.0,17.625,35.10000038147,0.7012032509364389
2004-03-13 17:00:00,1326.0,1000.25,975.5,125.0,1083.75,16.675000190735,37.799999237061,0.7117364038435915
2004-03-13 18:00:00,1472.75,1162.75,830.5,148.0,1394.75,16.099999904633,41.02499961853,0.7451314943585404
2004-03-13 19:00:00,1609.0,1286.25,757.5,165.0,1611.5,15.825000047684,42.400000572205,0.7569143276676089
2004-03-13 20:00:00,1610.75,1274.0,754.25,161.0,1697.25,15.650000095367,44.10000038147,0.7786406550707863
2004-03-13 21:00:00,1620.5,1247.25,762.0,159.0,1885.5,15.325000047684,46.775000572205,0.8091244285768237
2004-03-13 22:00:00,1444.25,1088.5,844.0,143.0,1623.75,14.649999856949,48.625,0.8059694141072296
2004-03-13 23:00:00,1418.0,1009.75,892.0,130.0,1536.25,14.700000286102,49.275000572205,0.8193361244198358
2004-03-14 00:00:00,1533.5,1013.0,888.5,129.0,1534.75,13.949999809265,53.60000038147,0.8497717204331877
2004-03-14 01:00:00,1483.5,1044.75,879.75,119.0,1529.75,14.649999856949,51.5,0.8536231326791223
2004-03-14 02:00:00,1366.75,924.5,952.5,104.0,1337.0,12.549999952316,58.900000572205,0.8537400738793904
2004-03-14 03:00:00,1344.0,967.75,920.5,,1278.25,11.649999856949,63.425000190735,0.8674492315744939
2004-03-14 04:00:00,1129.5,773.0,1130.25,82.0,1050.5,12.099999904633,61.100001335144,0.8603162131672637
2004-03-14 05:00:00,1062.0,691.0,1271.5,70.0,929.0,11.475000143051,63.10000038147,0.8532753834381319
2004-03-14 06:00:00,1075.75,618.25,1395.25,63.0,872.25,11.599999904633,62.150000572205,0.8472636259100265
2004-03-14 07:00:00,1028.25,614.75,1383.5,67.0,853.0,10.399999856949,67.649998664856,0.8529987302926639
2004-03-14 08:00:00,1154.5,722.25,1224.75,84.0,959.25,11.574999809265,62.674999237061,0.8530382230087753
2004-03-14 09:00:00,1235.25,828.0,1055.25,83.0,1093.25,12.424999952316,60.0,0.8627151273296463
2004-03-14 10:00:00,1331.5,923.0,951.75,98.0,1225.0,14.525000095367,53.074999809265,0.8727816223552813
2004-03-14 11:00:00,1444.75,1009.25,878.25,114.0,1355.25,16.875000476837,46.099999427795,0.8789310942666374
2004-03-14 12:00:00,1415.5,1002.0,906.75,119.0,1261.5,19.300000190735,38.25,0.8474048021414429
2004-03-14 13:00:00,1281.25,880.0,1083.75,104.0,980.0,21.174999713898,31.449999809265,0.7811957165002227
2004-03-14 14:00:00,1207.25,878.5,1103.5,102.0,872.25,21.424999713898,30.199999809265,0.7615918767626616
2004-03-14 15:00:00,1257.75,905.75,1081.25,107.0,900.25,21.925000190735,28.950000286102,0.7524589545694458
2004-03-14 16:00:00,1457.75,1045.0,973.75,129.0,1098.5,22.224999904633,28.39999961853,0.7516273241188697
2004-03-14 17:00:00,1437.75,1050.75,942.5,128.0,1206.25,21.299999713898,30.75,0.7696154919144513
2004-03-14 18:00:00,1477.75,1055.25,929.25,121.0,1262.25,19.650000095367,36.699999809265,0.8307061318496992
2004-03-14 19:00:00,1807.5,1312.25,753.25,157.0,1697.75,18.374999523163,41.72500038147,0.8731957705577488
2004-03-14 20:00:00,1898.0,1381.25,680.5,173.0,1904.75,17.625,46.099999427795,0.9209535360575977
2004-03-14 21:00:00,1559.5,1139.75,783.75,146.0,1648.0,16.650000095367,49.575000762939,0.9319900473249648
2004-03-14 22:00:00,1324.25,939.5,923.5,121.0,1422.75,16.25,50.950000762939,0.9341472131622557
2004-03-14 23:00:00,1348.75,933.0,933.0,119.0,1348.75,14.725000143051,55.925000190735,0.9313856224921276
2004-03-15 00:00:00,1238.75,872.25,985.0,99.0,1250.25,14.825000047684,54.675001144409,0.9163543254683045
2004-03-15 01:00:00,1239.0,853.25,1010.25,93.0,1173.75,14.049999952316,57.0,0.9094489367663466
2004-03-15 02:00:00,1223.75,855.0,998.25,88.0,1148.75,13.350000143051,61.349999427795,0.936085703142246
2004-03-15 03:00:00,1078.25,734.0,1128.25,,1020.5,12.599999904633,63.474999427795,0.9230174218998716
2004-03-15 04:00:00,1077.5,710.5,1150.0,71.0,1012.75,12.349999904633,65.35000038147,0.9351122865764487
2004-03-15 05:00:00,1074.5,703.25,1155.75,74.0,1010.0,11.899999856949,67.449998855591,0.9375381769341324
2004-03-15 06:00:00,1156.75,829.5,1029.5,80.0,1083.0,11.375,70.52499961853,0.9475162243381903
2004-03-15 07:00:00,1314.0,965.75,896.75,89.0,1234.75,11.324999809265,70.200000762939,0.940095096018487
2004-03-15 08:00:00,1796.75,1451.0,652.0,114.0,1679.5,12.400000095367,63.875000953674,0.9169546941482681
2004-03-15 09:00:00,1961.25,1701.0,536.75,149.0,2184.25,14.774999856949,54.324999809265,0.9076095360418625
2004-03-15 10:00:00,1770.5,1470.0,621.5,157.0,1973.0,17.400000095367,45.64999961853,0.8992981706467373
2004-03-15 11:00:00,1563.5,1299.5,709.75,155.0,1798.25,19.800000190735,38.525000572205,0.880059991386787
2004-03-15 12:00:00,1430.0,1119.75,830.5,134.0,1522.0,22.025000095367,34.050000190735,0.8903685188126028
2004-03-15 13:00:00,1417.25,1146.25,829.5,119.0,1404.0,23.324999809265,32.174999237061,0.9095992195673936
2004-03-15 14:00:00,1400.25,1162.25,838.25,111.0,1263.25,23.875,29.97500038147,0.8756585288124981
2004-03-15 15:00:00,1317.25,1052.75,926.0,104.0,1137.0,24.449999809265,28.900000095367,0.873591912397843
2004-03-15 16:00:00,1317.75,1033.0,949.75,99.0,1068.0,24.375,29.39999961853,0.8847617117200978
2004-03-15 17:00:00,1445.25,1141.0,856.5,110.0,1251.5,23.849999904633,31.325000762939,0.913735211108514
2004-03-15 18:00:00,1917.0,1600.5,631.25,162.0,1843.25,22.549999237061,35.375000953674,0.9546998207473483
2004-03-15 19:00:00,2039.75,1754.25,542.25,187.0,2122.25,20.425000667572,42.5,1.0086313341074233
2004-03-15 20:00:00,1894.75,1573.25,565.0,165.0,1991.5,18.275000095367,52.625000953674,1.0945180933132785
2004-03-15 21:00:00,1594.5,1293.5,678.25,145.0,1707.0,16.650000095367,57.375,1.0786268914239705
2004-03-15 22:00:00,1438.5,1158.5,764.25,125.0,1494.25,15.699999809265,60.150000572205,1.0653715549625937
2004-03-15 23:00:00,1141.5,852.25,1008.25,101.0,1164.25,15.250000238419,61.449998855591,1.0579554990778919
2004-03-16 00:00:00,1303.6666666667,1019.3333333333,852.33333333333,103.0,1271.6666666667,14.066666603088,65.699999491374,1.049372403097042
2004-03-16 01:00:00,1074.25,783.5,1097.75,88.0,1039.75,14.825000047684,60.550001144409,1.0148194658330398
2004-03-16 02:00:00,968.0,640.0,1319.5,61.0,866.75,14.75,59.224999427795,0.9879081107816498
2004-03-16 03:00:00,929.25,607.5,1375.5,,825.75,13.624999761581,62.050000190735,0.9635549956184191
2004-03-16 04:00:00,941.0,625.5,1315.75,59.0,839.75,12.324999809265,66.150000572205,0.9450361951968503
2004-03-16 05:00:00,937.0,584.75,1411.5,52.0,792.5,12.75,63.22500038147,0.9282898040213576
2004-03-16 06:00:00,1017.0,681.25,1245.75,64.0,869.5,11.174999952316,68.47500038147,0.9081071231015929
2004-03-16 07:00:00,1171.25,770.0,1161.75,70.0,930.0,10.975000143051,66.5,0.8705229495981881
2004-03-16 08:00:00,1541.0,1185.0,770.0,97.0,1406.5,11.674999952316,63.650000572205,0.8719365877065632
2004-03-16 09:00:00,1539.25,1287.0,697.5,95.0,1507.0,13.625,56.299999237061,0.8742650471769098
2004-03-16 10:00:00,1734.75,1430.5,628.25,150.0,1843.25,17.824999332428,42.875,0.8672254631723162
2004-03-16 11:00:00,1571.0,1296.5,730.0,162.0,1729.0,21.449999809265,33.324999332428,0.8416712958240697
2004-03-16 12:00:00,1451.75,1249.5,775.5,154.0,1583.25,24.375,27.35000038147,0.8230691655452694
2004-03-16 13:00:00,1579.0,1359.25,724.0,161.0,1670.75,25.250000476837,26.075000286102,0.8263807552458209
2004-03-16 14:00:00,1466.25,1308.75,772.5,161.0,1491.25,25.825000286102,23.150000095367,0.7589369630881299
2004-03-16 15:00:00,1279.75,1136.25,892.75,128.0,1239.75,27.0,20.200000286102,0.7093615130294146
2004-03-16 16:00:00,1407.0,1196.5,905.25,129.0,1313.0,28.249999523163,18.574999809265,0.7013857388336394
2004-03-16 17:00:00,1388.75,1173.0,898.25,133.0,1363.25,27.974999904633,19.10000038147,0.709825085363188
2004-03-16 18:00:00,1447.25,1234.75,858.75,139.0,1295.75,23.900000095367,25.699999809265,0.7518910408124666
2004-03-16 19:00:00,1551.0,1271.0,800.25,137.0,1432.25,21.349999904633,34.77499961853,0.8729931333855647
2004-03-16 20:00:00,1473.5,1172.5,854.25,143.0,1431.75,20.425000190735,36.675000190735,0.870389489318189
2004-03-16 21:00:00,1799.5,1426.0,700.0,177.0,2033.5,19.025000095367,41.349999427795,0.9007307308826996
2004-03-16 22:00:00,1379.25,1101.25,817.5,138.0,1601.75,17.925000190735,45.900000572205,0.9341860450216591
2004-03-16 23:00:00,1200.5,942.75,935.0,117.0,1361.75,16.700000286102,48.925000190735,0.9226499255272292
2004-03-17 00:00:00,1204.75,924.75,922.0,107.0,1314.25,15.524999856949,52.925000190735,0.9271282297880028
2004-03-17 01:00:00,1071.5,784.0,1065.5,90.0,1113.75,15.475000143051,51.875,0.9058752804047421
2004-03-17 02:00:00,997.75,713.5,1169.25,79.0,991.5,14.125,55.575000762939,0.8909558056211343
2004-03-17 03:00:00,933.25,625.0,1291.5,,883.75,13.050000190735,57.900000572205,0.8666330082051409
2004-03-17 04:00:00,882.75,576.5,1396.0,60.0,808.25,12.650000333786,57.900000572205,0.8446603528823093
2004-03-17 05:00:00,868.75,553.5,1459.5,40.0,667.0,11.824999809265,58.025000572205,0.8026319321159456
2004-03-17 06:00:00,890.75,576.25,1416.5,53.0,733.0,11.900000095367,57.39999961853,0.7978457040872352
2004-03-17 07:00:00,1172.75,877.75,1038.0,84.0,1051.75,9.9000000953674,65.199999809265,0.7956455570632858
2004-03-17 08:00:00,1587.25,1333.75,702.25,108.0,1533.5,11.125,60.200000762939,0.7957756867981807
2004-03-17 09:00:00,1851.5,1695.75,552.75,127.0,1931.0,14.124999761581,50.024998664856,0.8019804174284915
2004-03-17 10:00:00,1521.5,1331.25,702.5,134.0,1733.75,17.699999809265,40.099999427795,0.8048291453438373
2004-03-17 11:00:00,1438.25,1160.75,818.5,135.0,1595.0,21.10000038147,33.425000190735,0.8264862161367829
2004-03-17 12:00:00,1393.25,1066.75,905.0,142.0,1489.75,24.300000190735,28.275000572205,0.8471276904737085
2004-03-17 13:00:00,1452.0,1152.0,860.5,153.0,1507.5,25.575000286102,25.550000190735,0.8253948829277935
2004-03-17 14:00:00,1389.25,1108.0,886.5,123.0,1334.0,25.85000038147,25.900000095367,0.8503393425785896
2004-03-17 15:00:00,1207.0,993.75,1013.0,104.0,1044.75,26.824999809265,18.699999809265,0.6500177450710016
2004-03-17 16:00:00,1365.25,1153.75,939.5,129.0,1221.25,29.275000095367,15.750000238419,0.6308904544623257
2004-03-17 17:00:00,1247.0,1060.25,1032.0,114.0,1068.5,28.5,14.900000095367,0.5708019092283132
2004-03-17 18:00:00,1556.75,1477.75,793.0,158.0,1568.5,25.85000038147,15.950000286102,0.5236645833000759
2004-03-17 19:00:00,1972.5,1737.25,616.75,194.0,2305.5,23.125,26.5,0.7402606104103562
2004-03-17 20:00:00,1974.75,1666.5,596.75,182.0,2358.5,20.52499961853,38.249999046326,0.9133141768209518
2004-03-17 21:00:00,1794.75,1485.0,652.5,180.0,2050.0,19.050000190735,42.60000038147,0.9293877038696484
2004-03-17 22:00:00,1443.75,1150.0,769.5,136.0,1726.5,17.150000095367,44.125000953674,0.855830709685321
2004-03-17 23:00:00,1488.0,1170.75,731.0,127.0,1705.0,16.025000095367,50.924999237061,0.9205987579699731
2004-03-18 00:00:00,1371.25,1082.75,795.75,116.0,1550.5,14.799999952316,53.924999237061,0.9023544874899323
2004-03-18 01:00:00,1160.75,904.25,946.75,107.0,1240.25,14.274999856949,55.449999809265,0.8974730609108261
2004-03-18 02:00:00,1064.25,787.0,1056.75,88.0,1115.0,14.75,52.074999809265,0.8686418772067029
2004-03-18 03:00:00,970.25,687.0,1195.5,,968.5,13.875,53.875,0.8500589031339439
2004-03-18 04:00:00,954.0,644.75,1260.25,78.0,924.75,11.599999904633,61.924999237061,0.8441962816575157
2004-03-18 05:00:00,930.5,622.75,1293.25,57.0,827.75,12.0,58.85000038147,0.8233024519061931
2004-03-18 06:00:00,938.0,650.25,1251.25,71.0,893.0,10.949999809265,62.074999809265,0.8112765628062703
2004-03-18 07:00:00,1166.25,885.25,1005.25,85.0,1075.0,10.575000047684,63.25,0.8066818457709178
2004-03-18 08:00:00,1643.0,1384.25,667.0,124.0,1610.25,11.475000143051,60.025000572205,0.8116934242390748
2004-03-18 09:00:00,1934.0,1681.5,540.5,151.0,2050.5,14.275000333786,50.575000762939,0.8185699237552145
2004-03-18 10:00:00,1616.5,1332.5,685.75,150.0,1818.5,17.849999904633,40.52499961853,0.8209643334545565
2004-03-18 11:00:00,1472.75,1126.5,830.5,152.0,1567.75,20.800000667572,34.449999809265,0.8364562599842863
2004-03-18 12:00:00,1378.5,1067.5,898.75,139.0,1373.5,23.849999904633,28.174999713898,0.8218511950371455
2004-03-18 13:00:00,1385.25,1056.25,891.0,133.0,1267.5,24.150000095367,28.675000190735,0.8514933610951715
2004-03-18 14:00:00,1378.75,1086.75,901.25,126.0,1143.5,25.150000572205,24.85000038147,0.7829250121204008
2004-03-18 15:00:00,1321.6666666667,1128.6666666667,933.66666666667,128.0,1109.3333333333,27.03333346049,17.833333333333,0.6274693274133316
2004-03-18 16:00:00,1495.75,1205.0,822.0,169.0,1347.25,27.125000476837,23.124999523163,0.8180144786395258
2004-03-18 17:00:00,1408.75,1131.25,873.0,149.0,1205.75,25.800000190735,23.925000190735,0.7831929181625135
2004-03-18 18:00:00,1512.75,1338.0,764.25,156.0,1397.0,23.049999713898,26.77499961853,0.7445933183512644
2004-03-18 19:00:00,1667.0,1464.25,683.25,168.0,1588.25,20.724999904633,31.125,0.7522865185760392
2004-03-18 20:00:00,1666.75,1453.25,683.5,176.0,1568.5,18.599999904633,36.175000190735,0.7676391782873102
2004-03-18 21:00:00,1430.25,1121.25,814.0,135.0,1321.5,16.049999713898,48.425000190735,0.8767802411169491
2004-03-18 22:00:00,1333.25,989.0,885.25,121.0,1194.0,14.450000047684,57.775000572205,0.9455578282061462
2004-03-18 23:00:00,1261.5,910.5,948.25,99.0,1061.5,13.050000190735,64.175000190735,0.9605556635099728
2004-03-19 00:00:00,1287.25,936.25,918.0,106.0,1040.0,11.974999666214,69.699998855591,0.9735189395480225
2004-03-19 01:00:00,1134.25,840.0,1021.25,96.0,917.0,11.949999809265,71.10000038147,0.9914705590149329
2004-03-19 02:00:00,998.75,687.75,1228.5,63.0,593.5,12.525000095367,69.299999237061,1.0028708448617707
2004-03-19 03:00:00,960.75,621.5,1381.5,,430.25,12.525000095367,67.499998092651,0.9768222346407011
2004-03-19 04:00:00,933.75,568.5,1439.75,32.0,397.0,12.324999809265,67.650001525879,0.9664656008172544
2004-03-19 05:00:00,912.75,524.5,1619.75,28.0,370.0,12.450000047684,66.800001144409,0.9620368804375885
2004-03-19 06:00:00,969.25,606.75,1372.5,61.0,438.0,12.349999666214,66.300001144409,0.9487061110318187
2004-03-19 07:00:00,1181.5,845.0,1054.0,99.0,704.25,12.424999713898,64.89999961853,0.9331701762499358
2004-03-19 08:00:00,1740.25,1372.25,670.75,157.0,1475.75,13.025000095367,61.625000953674,0.9209105293356814
2004-03-19 09:00:00,1819.25,1581.5,574.5,166.0,1715.5,13.600000143051,58.825000762939,0.9120177831269436
2004-03-19 10:00:00,1427.0,1275.0,700.5,149.0,1398.0,13.899999856949,57.14999961853,0.9031710369226136
2004-03-19 11:00:00,1389.5,1190.75,758.75,135.0,1267.5,14.474999904633,54.400000572205,0.8917360162277309
2004-03-19 12:00:00,1283.0,1117.25,813.0,127.0,1188.25,15.475000143051,50.074999809265,0.8744424962599583
2004-03-19 13:00:00,1303.5,1156.75,793.0,122.0,1170.5,16.124999761581,47.574999809265,0.8654551208004385
2004-03-19 14:00:00,1364.0,1201.75,770.75,135.0,1250.25,16.275000095367,47.050000190735,0.8639954979898178
2004-03-19 15:00:00,1409.75,1268.25,724.25,139.0,1344.0,16.39999961853,47.499999046326,0.8791182025620105
2004-03-19 16:00:00,1476.0,1280.0,708.0,147.0,1378.0,16.050000190735,50.22500038147,0.9093709672599519
2004-03-19 17:00:00,1522.0,1320.25,689.75,158.0,1435.25,16.0,50.650000572205,0.9141909286776635
2004-03-19 18:00:00,1441.75,1301.0,704.0,146.0,1372.25,15.849999904633,50.27499961853,0.8989088581931544
2004-03-19 19:00:00,1469.0,1344.25,677.25,144.0,1471.0,15.475000143051,50.625,0.8840469603949893
2004-03-19 20:00:00,1467.25,1292.0,697.5,138.0,1438.75,15.424999952316,51.449999809265,0.8956257084874374
2004-03-19 21:00:00,1420.5,1202.25,747.5,143.0,1428.5,15.200000047684,53.124999046326,0.9117445852537478
2004-03-19 22:00:00,1175.0,945.0,903.75,116.0,1080.5,14.700000047684,57.574999809265,0.9573470511734334
2004-03-19 23:00:00,1215.0,911.5,947.75,109.0,993.0,14.174999952316,58.324999809265,0.9380218920355338
2004-03-20 00:00:00,1126.75,802.0,1064.0,92.0,837.0,13.775000095367,57.949999809265,0.908543705377997
2004-03-20 01:00:00,1090.25,773.0,1105.25,83.0,761.0,13.899999856949,55.949999809265,0.8842068185625946
2004-03-20 02:00:00,1017.0,717.5,1181.75,81.0,650.25,13.874999761581,55.550000190735,0.8764876383029188
2004-03-20 03:00:00,997.25,677.0,1252.25,,590.75,13.824999809265,55.10000038147,0.8666203794544741
2004-03-20 04:00:00,944.75,646.25,1308.0,55.0,505.0,13.799999952316,54.60000038147,0.8573882875662029
2004-03-20 05:00:00,955.75,661.25,1259.75,53.0,518.0,13.625000238419,55.125,0.8560188652298616
2004-03-20 06:00:00,966.25,621.5,1316.75,67.0,570.75,13.574999809265,58.97500038147,0.912884475483259
2004-03-20 07:00:00,1064.0,727.5,1160.5,91.0,842.0,13.450000047684,58.35000038147,0.8960236853936431
2004-03-20 08:00:00,1299.75,934.75,902.25,113.0,1144.75,13.75,58.025000572205,0.9082698441017566
2004-03-20 09:00:00,1348.0,997.75,833.75,102.0,1218.25,14.599999904633,53.050000190735,0.8765311454943677
2004-03-20 10:00:00,1424.5,1067.5,776.25,107.0,1341.0,15.025000095367,52.324999809265,0.8881377715665386
2004-03-20 11:00:00,1473.75,1061.0,767.5,113.0,1405.5,15.400000095367,52.050000190735,0.9046428918901228
2004-03-20 12:00:00,1489.75,1038.75,782.25,108.0,1421.5,16.250000476837,49.950000762939,0.9158126537101688
2004-03-20 13:00:00,1494.75,1040.0,808.75,105.0,1373.0,17.14999961853,47.850001335144,0.9280792861009488
2004-03-20 14:00:00,1375.5,952.5,899.5,93.0,1153.25,19.049999713898,42.949999809265,0.9370234783049988
2004-03-20 15:00:00,1304.75,884.0,980.0,87.0,927.25,19.500000476837,42.25,0.9475796380281803
2004-03-20 16:00:00,1282.5,844.25,1035.5,76.0,766.25,19.500000476837,42.324999809265,0.9492617277823937
